RosTime,Stream,GTOdomX,GTOdomY,GTOdomZ,GTQX,GTQY,GTQZ,GTQW,GTYaw,VIOX,VIOY,VIOZ,VIOQX,VIOQY,VIOQZ,VIOQW,VIOYaw
1776946024.278710127,VIO,,,,,,,,,1.99420669319,1.12012945146,1.48482943148,0.0193891961315,-0.00194055733989,0.127871271556,0.991599329982,0.256326421224
1776946024.284707069,VIO,,,,,,,,,1.99406636139,1.120312451,1.48561288717,0.019417429449,-0.00194573924179,0.129706417744,0.991360389933,0.260026559527
1776946024.293711185,VIO,,,,,,,,,1.99385866434,1.1205616463,1.48678669054,0.0194054926633,-0.00194385251832,0.132464376411,0.990995881563,0.265589843412
1776946024.299708843,VIO,,,,,,,,,1.99372106873,1.12071200259,1.48756510387,0.0193854880749,-0.00194607572721,0.134305609824,0.990748413479,0.269305067158
1776946024.299708843,GT,2.00243163109,0.967257738113,1.50933146477,0.0138455568641,-0.00186003332905,0.163014194162,0.986524860874,0.327412828151,,,,,,,,
1776946024.308712006,VIO,,,,,,,,,1.99351652837,1.12091996229,1.4887285266,0.0192264333152,-0.00191370536335,0.137064456757,0.99037367528,0.274876021568
1776946024.314709902,VIO,,,,,,,,,1.99346700888,1.11315982848,1.49239146777,0.0150022051765,-0.00137995589782,0.139017484483,0.990175322137,0.278869002263
1776946024.314709902,GT,2.00250554085,0.964905440807,1.51317369938,0.0136896477648,-0.00181460692768,0.168510354088,0.98560315142,0.338561007231,,,,,,,,
1776946024.323709965,VIO,,,,,,,,,1.99385088205,1.11166664489,1.4899483332,0.0148881986449,-0.00171838716849,0.138772791224,0.990210836692,0.278366376103
1776946024.329710007,VIO,,,,,,,,,1.99375170736,1.11162751474,1.49066044471,0.0143207867791,-0.00165575402709,0.140614795937,0.989959419728,0.282092331666
1776946024.338711977,GT,2.00262236595,0.96121442318,1.51894664764,0.0115721725878,-0.00162265864993,0.17680519127,0.984176564853,0.355422756165,,,,,,,,
1776946024.338711977,VIO,,,,,,,,,1.99360526745,1.11155372461,1.49172448005,0.0135662567274,-0.00155457200293,0.143384903488,0.989572791378,0.287696658456
1776946024.344712973,VIO,,,,,,,,,1.99350886731,1.11149267123,1.49242942598,0.0131800057906,-0.00149258895088,0.145239821422,0.989307562843,0.291449575161
